id,created_at,favorites,retweets,retweeted,source,text
857880437036810241,2017-04-28 08:53:29,0,5,False,Twitter for Android,RT @RusConsulGen: #MCIS Foreign intelligence chief 🇷🇺 Sergey #Naryshkin says current ideological standoff worse than #ColdWar era https://t…
857880396612153344,2017-04-28 08:53:19,0,69,False,Twitter for Android,"RT @mfa_russia: #Zakharova: We are following the developments in #Syria with grave concern. Unfortunately, the reasons for concern are pili…"
857880376089473024,2017-04-28 08:53:14,0,43,False,Twitter for Android,RT @mfa_russia: .@RussiaUN @UN @Presidency_Sy @RusEmbSyria @RussianEmbassy @RusConsulGen @ambruspresse @RusBotWien @RusBotschaft @mod_russi…
857880282141270017,2017-04-28 08:52:52,0,45,False,Twitter for Android,RT @RusConsulGen: The St. George Ribbon in #Syria|n capital #Damascus https://t.co/OhaAyNcZy9
857880232312942592,2017-04-28 08:52:40,0,57,False,Twitter for Android,RT @MID_RF: #Кузнецов: Срочных мер со стороны #ЮНЕСКО требует ситуация с преступным уничтожением культурного наследия Сирии https://t.co/LY…
857880052796706816,2017-04-28 08:51:57,0,6,False,Twitter for Android,RT @davidsternCJB: Yes! David H. Stern's Jewish New Testament Commentary in Hebrew! Thank you @MaozIsrael! #BaruchHaShem https://t.co/P3XYE…
857879907858296832,2017-04-28 08:51:23,0,5,False,Twitter for Android,"RT @davidsternCJB: There is no fear in love. On the contrary, love that has achieved its goal...1 John 4:18 #CJB #CompleteJewishBible #Vers…"
857879831597522945,2017-04-28 08:51:05,0,125,False,Twitter for Android,RT @Scripture_Truth: Order my steps in thy word: &amp; let not any iniquity have dominion over me. -Psalm 119:133
857879743617789953,2017-04-28 08:50:44,0,10,False,Twitter for Android,RT @Shinpath: He could smell the BS from miles away. https://t.co/gdDPtKY4rQ
857879622289154048,2017-04-28 08:50:15,0,1,False,Twitter for Android,RT @tekhelet: HK ready to bid farewell to Western imperium - Global Times https://t.co/DCgHdFM2vI
857879426066993153,2017-04-28 08:49:28,0,13,False,Twitter for Android,RT @dev9_: .@defencepk @sabena_siddiqi @abasitpak1 @ForeignOfficePk @pid_gov @betterpakistan @PakEmbassyDC @vogul1960 @RadioPakistan @kdast…
857879393871507456,2017-04-28 08:49:20,0,34,False,Twitter for Android,"RT @MacleodFinance: End of empire. China and Russia more likely to force currency reset due to Trump/NKorea etc. 
https://t.co/mnyNUcgsDV"
857879313051504640,2017-04-28 08:49:01,0,6,False,Twitter for Android,RT @sabena_siddiqi: #Karachi to #Gwadar ferry service licence approved today by Ministry of Ports and Shipping.
857879286786789376,2017-04-28 08:48:55,0,16,False,Twitter for Android,"RT @apbfpk: @betterpakistan urged youngsters to prepare themselves in order to benefit from the opportunities offered by #CPEC

https://t.c…"
857879223146606592,2017-04-28 08:48:40,0,3,False,Twitter for Android,RT @AlexMalejewicz: @tekhelet @Russ_Warrior @sabena_siddiqi @DrKinKam @JohnRoss43 @LKYSch @DannyQuah @dbsinsights @mahbubani_k @JeremyKohCN…
857879126744727552,2017-04-28 08:48:17,0,3,False,Twitter for Android,RT @chinaorgcn: #BeltandRoad brings new opportunities for Afghanistan https://t.co/IMrm6ab8Ll https://t.co/yajYX3OOgm
857879058062999553,2017-04-28 08:48:00,0,13,False,Twitter for Android,"RT @chinascio: #China, #Russia to develop new jet.
https://t.co/bXP5OzfanE https://t.co/oOlPhfiytZ"
857878981265305600,2017-04-28 08:47:42,0,5,False,Twitter for Android,"RT @sabena_siddiqi: #CPEC is a framework of regional connectivity &amp; cooperation.
Says @betterpakistan https://t.co/urc5zdHm1H"
857878853317996544,2017-04-28 08:47:11,0,6,False,Twitter for Android,"RT @sabena_siddiqi: #Trump praises #Xi over handling of #NorthKorea 
https://t.co/4N1lkQneI0"
857878831784493056,2017-04-28 08:47:06,0,1,False,Twitter for Android,RT @sabena_siddiqi: #Pakistan Defence Minister at opening ceremony of VI Moscow conference on International Security in #Russia https://t.c…
857878811920273410,2017-04-28 08:47:02,0,9,False,Twitter for Android,"RT @sabena_siddiqi: Fighting continues at site where #US dropped #MOAB
#Afghanistan
 https://t.co/eYYmZKHmO9"
857878775027179520,2017-04-28 08:46:53,0,15,False,Twitter for Android,"RT @sabena_siddiqi: My article released by @asiatimesonline 

Highway to #Tawang : #SouthTibet border dispute drags on
#China #India

https…"
